Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,3_DEUCES,68.68794,1,68.68794,68.68794,AIRPORT,700
2,1_DEUCE_3_ROYAL,20.60196,2,19.80392,21.4,AIRPORT,700
3,2_DEUCES,16.95579,30,14.39898,24.89796,AIRPORT,700
4,PAT_5_OAK_OR_WILD_ROYAL,15.0,1,15.0,15.0,AIRPORT,700
5,PAT_STRAIGHT_OR_FULL_HOUSE,14.6875,16,10.0,20.0,AIRPORT,700
6,3_KIND,10.44001,94,9.11565,23.40426,AIRPORT,700
7,1_DEUCE_3_SF_GAP,9.54344,3,9.0625,10.3125,AIRPORT,700
8,1_DEUCE_2_ROYAL,6.61816,19,6.06939,7.14711,AIRPORT,700
9,1_DEUCE_2_SF_CONN,5.48938,10,5.35714,5.71003,AIRPORT,700
10,1_DEUCE_2_SF_GAP,5.19391,8,4.93622,5.33688,AIRPORT,700
11,4_STR_FLUSH_GAP,5.15969,4,3.97959,7.95918,AIRPORT,700
12,1_DEUCE_3_FLUSH,4.98299,6,4.89796,5.0,AIRPORT,700
13,1_DEUCE_GENERIC,4.9288,64,4.77023,5.23474,AIRPORT,700
14,1_DEUCE_2_FLUSH,4.91804,3,4.8682,5.01773,AIRPORT,700
15,4_FLUSH,4.19437,15,3.97959,4.5,AIRPORT,700
16,3_ROYAL,3.98335,6,3.68627,4.3451,AIRPORT,700
17,2_PAIR,3.89668,24,3.33333,4.70588,AIRPORT,700
18,1_PAIR,3.00296,215,2.53061,3.61811,AIRPORT,700
19,3_STR_FLUSH_CONN,2.71277,2,2.69947,2.72606,AIRPORT,700
20,4_STRAIGHT_OPEN,2.39664,14,1.70213,2.5,AIRPORT,700
21,3_STR_FLUSH_GAP,2.11442,11,1.90051,2.33878,AIRPORT,700
22,3_FLUSH,1.72194,1,1.72194,1.72194,AIRPORT,700
23,2_ROYAL,1.70981,34,1.60561,2.00798,AIRPORT,700
24,JUNK_LOW,1.59338,37,1.50988,1.70213,AIRPORT,700
25,JUNK_HIGH_CARDS,1.58196,16,1.52219,1.63265,AIRPORT,700
26,DISCARD_ALL,1.53896,64,1.48534,1.60759,AIRPORT,700
