Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,3_DEUCES,75.79172,18,72.53546,125.0,BONUS_DEUCES,10000
2,PAT_5_OAK_OR_WILD_ROYAL,33.63636,11,15.0,100.0,BONUS_DEUCES,10000
3,1_DEUCE_3_ROYAL,23.79382,20,23.13725,25.6,BONUS_DEUCES,10000
4,2_DEUCES,18.53204,413,14.21122,29.79592,BONUS_DEUCES,10000
5,PAT_FLUSH_OR_STR_FLUSH,15.0,18,15.0,15.0,BONUS_DEUCES,10000
6,4_ROYAL,14.1761,2,14.03846,14.31373,BONUS_DEUCES,10000
7,1_DEUCE_3_SF_CONN,10.80138,12,10.0,11.32653,BONUS_DEUCES,10000
8,3_KIND,10.74918,1094,9.45578,31.2,BONUS_DEUCES,10000
9,PAT_STRAIGHT_OR_FULL_HOUSE,10.15337,163,5.0,125.0,BONUS_DEUCES,10000
10,1_DEUCE_3_SF_GAP,9.4941,72,8.95833,10.40816,BONUS_DEUCES,10000
11,4_STR_FLUSH_CONN,8.92274,5,8.75,9.3,BONUS_DEUCES,10000
12,1_DEUCE_2_ROYAL,6.80476,362,6.29804,7.53827,BONUS_DEUCES,10000
13,1_DEUCE_3_FLUSH,5.0053,191,4.6875,8.22917,BONUS_DEUCES,10000
14,4_STR_FLUSH_GAP,4.96381,30,3.75,8.3,BONUS_DEUCES,10000
15,1_DEUCE_2_SF_CONN,4.88039,62,4.68112,5.1906,BONUS_DEUCES,10000
16,1_DEUCE_2_SF_GAP,4.77436,48,4.62041,4.90248,BONUS_DEUCES,10000
17,1_DEUCE_GENERIC,4.67831,1104,4.51856,4.91588,BONUS_DEUCES,10000
18,3_ROYAL,4.20274,87,3.8914,4.71837,BONUS_DEUCES,10000
19,4_FLUSH,4.20215,242,3.75,6.83673,BONUS_DEUCES,10000
20,2_PAIR,3.94275,390,3.33333,4.70588,BONUS_DEUCES,10000
21,1_PAIR,3.0657,2813,2.57143,3.73969,BONUS_DEUCES,10000
22,3_STR_FLUSH_CONN,2.35628,36,1.96854,2.69558,BONUS_DEUCES,10000
23,3_STR_FLUSH_GAP,2.03334,188,1.79847,2.43197,BONUS_DEUCES,10000
24,3_FLUSH,1.71129,18,1.6449,1.78635,BONUS_DEUCES,10000
25,2_ROYAL,1.68122,755,1.47227,1.94502,BONUS_DEUCES,10000
26,JUNK_HIGH_CARDS,1.45638,250,1.42312,1.51791,BONUS_DEUCES,10000
27,JUNK_LOW,1.4509,442,1.38934,1.53857,BONUS_DEUCES,10000
28,DISCARD_ALL,1.43214,1154,1.36343,1.49891,BONUS_DEUCES,10000
