Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Samples_Run
1,3_DEUCES,68.68794,1,68.68794,68.68794,AIRPORT,200
2,2_DEUCES,16.19672,8,14.55656,24.89796,AIRPORT,200
3,PAT_5_OAK_OR_WILD_ROYAL,15.0,1,15.0,15.0,AIRPORT,200
4,PAT_STRAIGHT_OR_FULL_HOUSE,14.16667,6,10.0,20.0,AIRPORT,200
5,3_KIND,9.92448,33,9.11565,11.10612,AIRPORT,200
6,1_DEUCE_2_ROYAL,6.70669,9,6.26276,7.14711,AIRPORT,200
7,1_DEUCE_2_SF_CONN,5.44305,3,5.35714,5.59524,AIRPORT,200
8,1_DEUCE_2_SF_GAP,5.14031,1,5.14031,5.14031,AIRPORT,200
9,1_DEUCE_3_FLUSH,5.0,1,5.0,5.0,AIRPORT,200
10,1_DEUCE_2_FLUSH,4.94296,2,4.8682,5.01773,AIRPORT,200
11,1_DEUCE_GENERIC,4.92248,17,4.80531,5.13616,AIRPORT,200
12,4_FLUSH,4.35,2,4.2,4.5,AIRPORT,200
13,4_STR_FLUSH_GAP,4.22653,3,3.97959,4.5,AIRPORT,200
14,3_ROYAL,4.09092,2,3.83673,4.3451,AIRPORT,200
15,2_PAIR,4.0189,8,3.33333,4.70588,AIRPORT,200
16,1_PAIR,3.08633,58,2.53061,3.61811,AIRPORT,200
17,4_STRAIGHT_OPEN,2.31022,5,1.70213,2.5,AIRPORT,200
18,3_STR_FLUSH_GAP,2.11952,2,1.98138,2.25765,AIRPORT,200
19,2_ROYAL,1.72921,9,1.60561,1.92602,AIRPORT,200
20,JUNK_LOW,1.60461,12,1.52034,1.66667,AIRPORT,200
21,JUNK_HIGH_CARDS,1.60064,2,1.56863,1.63265,AIRPORT,200
22,DISCARD_ALL,1.53984,15,1.49428,1.57448,AIRPORT,200
