Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000,4000,BONUS_DEUCES_10_4,100
2,4_DEUCES_ACE,2000.0,1,2000,2000,BONUS_DEUCES_10_4,100
3,4_DEUCES,1085.10638,1,1085.10638,1085.10638,BONUS_DEUCES_10_4,100
4,FIVE_ACES,400.0,1,400,400,BONUS_DEUCES_10_4,100
5,FIVE_3_4_5,200.0,1,200,200,BONUS_DEUCES_10_4,100
6,WILD_ROYAL,125.0,1,125,125,BONUS_DEUCES_10_4,100
7,FIVE_6_TO_K,100.0,1,100,100,BONUS_DEUCES_10_4,100
8,4_ROYAL,98.29787,1,98.29787,98.29787,BONUS_DEUCES_10_4,100
9,3_DEUCES,80.02775,1,80.02775,80.02775,BONUS_DEUCES_10_4,100
10,JUNK_LOW,35.31915,1,35.31915,35.31915,BONUS_DEUCES_10_4,100
11,2_DEUCES,15.48119,2,15.4465,15.51588,BONUS_DEUCES_10_4,100
12,PAT_FLUSH_OR_STR_FLUSH,15.0,3,15,15,BONUS_DEUCES_10_4,100
13,3_KIND,11.79295,11,9.34783,35.31915,BONUS_DEUCES_10_4,100
14,1_DEUCE_3_SF_CONN,11.17021,1,11.17021,11.17021,BONUS_DEUCES_10_4,100
15,3_3_4_5,10.2729,1,10.2729,10.2729,BONUS_DEUCES_10_4,100
16,PAT_STRAIGHT_OR_FULL_HOUSE,10.0,4,5,15,BONUS_DEUCES_10_4,100
17,3_ROYAL,6.58187,1,6.58187,6.58187,BONUS_DEUCES_10_4,100
18,1_DEUCE_2_ROYAL,5.34228,3,5.04163,5.94357,BONUS_DEUCES_10_4,100
19,1_DEUCE_2_SF_CONN,4.90287,1,4.90287,4.90287,BONUS_DEUCES_10_4,100
20,1_DEUCE_GENERIC,4.73525,10,4.69649,4.77246,BONUS_DEUCES_10_4,100
21,4_FLUSH,3.82979,2,3.82979,3.82979,BONUS_DEUCES_10_4,100
22,1_PAIR,2.72078,32,2.64231,3.01788,BONUS_DEUCES_10_4,100
23,3_STR_FLUSH_GAP,2.24329,1,2.24329,2.24329,BONUS_DEUCES_10_4,100
24,2_ROYAL,1.53839,10,1.47919,1.65063,BONUS_DEUCES_10_4,100
25,DISCARD_ALL,1.47418,20,1.46277,1.4892,BONUS_DEUCES_10_4,100
