Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,800.0,2,800.0,800.0,AIRPORT,4342
2,4_DEUCES,200.0,2,200.0,200.0,AIRPORT,4342
3,WILD_ROYAL,20.0,3,20.0,20.0,AIRPORT,4342
4,4_ROYAL,19.42553,5,19.29787,19.55319,AIRPORT,4342
5,3_DEUCES,15.07271,5,15.06383,15.09343,AIRPORT,4342
6,FIVE_6_TO_K,12.0,2,12.0,12.0,AIRPORT,4342
7,PAT_FLUSH_OR_STR_FLUSH,3.94444,18,3.0,20.0,AIRPORT,4342
8,1_DEUCE_3_SF_CONN,3.82371,7,3.48936,4.0,AIRPORT,4342
9,2_DEUCES,3.81046,159,3.18298,5.17021,AIRPORT,4342
10,1_DEUCE_3_ROYAL,3.48937,8,2.97872,4.0,AIRPORT,4342
11,1_DEUCE_3_SF_GAP,3.23984,44,2.97872,3.51064,AIRPORT,4342
12,PAT_STRAIGHT_OR_FULL_HOUSE,2.64,100,2.0,4.0,AIRPORT,4342
13,4_STR_FLUSH_CONN,2.59574,2,2.46809,2.7234,AIRPORT,4342
14,1_DEUCE_3_FLUSH,2.52128,2,2.51064,2.53191,AIRPORT,4342
15,3_KIND,1.93833,454,1.85106,4.68085,AIRPORT,4342
16,3_ACES,1.85106,5,1.85106,1.85106,AIRPORT,4342
17,3_3_4_5,1.85106,17,1.85106,1.85106,AIRPORT,4342
18,4_STR_FLUSH_GAP,1.60851,10,0.76596,2.46809,AIRPORT,4342
19,1_DEUCE_2_SF_CONN,1.33225,78,1.07216,1.44866,AIRPORT,4342
20,3_ROYAL,1.32295,71,1.23959,1.51896,AIRPORT,4342
21,1_DEUCE_2_SF_GAP,1.2348,65,1.07216,1.3062,AIRPORT,4342
22,1_DEUCE_2_ROYAL,1.19551,90,0.99075,1.43108,AIRPORT,4342
23,1_DEUCE_2_FLUSH,1.11466,109,0.99075,1.16374,AIRPORT,4342
24,1_DEUCE_GENERIC,1.04596,375,0.9492,1.3034,AIRPORT,4342
25,4_FLUSH,0.76596,90,0.76596,0.76596,AIRPORT,4342
26,3_STR_FLUSH_CONN,0.74303,28,0.64107,0.79278,AIRPORT,4342
27,2_PAIR,0.68085,145,0.68085,0.68085,AIRPORT,4342
28,3_STR_FLUSH_GAP,0.58917,126,0.54117,0.67438,AIRPORT,4342
29,1_PAIR,0.54184,1152,0.54184,0.54184,AIRPORT,4342
30,4_STRAIGHT_OPEN,0.48699,72,0.34043,0.51064,AIRPORT,4342
31,3_FLUSH,0.43509,3,0.43016,0.43756,AIRPORT,4342
32,JUNK_LOW,0.38599,223,0.308,4.68085,AIRPORT,4342
33,JUNK_HIGH_CARDS,0.3672,91,0.31138,0.4556,AIRPORT,4342
34,2_ROYAL,0.36553,123,0.30071,0.4169,AIRPORT,4342
35,DISCARD_ALL,0.33254,665,0.3008,0.40833,AIRPORT,4342
