Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,3,4000.0,4000.0,BONUS_DEUCES_10_4,1624
2,4_DEUCES_ACE,2000.0,3,2000.0,2000.0,BONUS_DEUCES_10_4,1624
3,4_DEUCES,1085.10638,3,1085.10638,1085.10638,BONUS_DEUCES_10_4,1624
4,FIVE_ACES,400.0,3,400.0,400.0,BONUS_DEUCES_10_4,1624
5,FIVE_3_4_5,200.0,3,200.0,200.0,BONUS_DEUCES_10_4,1624
6,WILD_ROYAL,125.0,3,125.0,125.0,BONUS_DEUCES_10_4,1624
7,FIVE_6_TO_K,100.0,3,100.0,100.0,BONUS_DEUCES_10_4,1624
8,4_ROYAL,98.29787,3,98.29787,98.29787,BONUS_DEUCES_10_4,1624
9,3_DEUCES,80.10176,3,80.02775,80.24977,BONUS_DEUCES_10_4,1624
10,JUNK_LOW,35.31915,3,35.31915,35.31915,BONUS_DEUCES_10_4,1624
11,2_DEUCES,18.75414,63,15.4058,35.31915,BONUS_DEUCES_10_4,1624
12,1_DEUCE_3_ROYAL,17.44681,5,17.02128,18.19149,BONUS_DEUCES_10_4,1624
13,PAT_FLUSH_OR_STR_FLUSH,15.0,10,15.0,15.0,BONUS_DEUCES_10_4,1624
14,3_ACES,12.12303,1,12.12303,12.12303,BONUS_DEUCES_10_4,1624
15,1_DEUCE_3_SF_CONN,11.20567,3,11.17021,11.2766,BONUS_DEUCES_10_4,1624
16,3_3_4_5,10.2729,6,10.2729,10.2729,BONUS_DEUCES_10_4,1624
17,3_KIND,10.20067,195,9.34783,35.31915,BONUS_DEUCES_10_4,1624
18,1_DEUCE_3_SF_GAP,9.42249,14,9.04255,10.21277,BONUS_DEUCES_10_4,1624
19,PAT_STRAIGHT_OR_FULL_HOUSE,7.08333,24,5.0,15.0,BONUS_DEUCES_10_4,1624
20,3_ROYAL,6.62754,16,6.37835,7.12766,BONUS_DEUCES_10_4,1624
21,4_STR_FLUSH_GAP,5.85106,4,3.82979,7.87234,BONUS_DEUCES_10_4,1624
22,1_DEUCE_2_ROYAL,5.36014,51,4.88899,5.98057,BONUS_DEUCES_10_4,1624
23,1_DEUCE_3_FLUSH,4.90122,28,4.78723,7.97872,BONUS_DEUCES_10_4,1624
24,1_DEUCE_2_SF_CONN,4.86785,7,4.78723,4.93987,BONUS_DEUCES_10_4,1624
25,1_DEUCE_GENERIC,4.7325,172,4.68576,4.7728,BONUS_DEUCES_10_4,1624
26,4_FLUSH,3.82979,27,3.82979,3.82979,BONUS_DEUCES_10_4,1624
27,1_PAIR,2.70571,535,2.64231,3.01788,BONUS_DEUCES_10_4,1624
28,3_STR_FLUSH_CONN,2.53006,1,2.53006,2.53006,BONUS_DEUCES_10_4,1624
29,3_STR_FLUSH_GAP,2.00824,22,1.91952,2.24329,BONUS_DEUCES_10_4,1624
30,3_FLUSH,1.66975,2,1.66975,1.66975,BONUS_DEUCES_10_4,1624
31,2_ROYAL,1.55358,89,1.46438,1.7086,BONUS_DEUCES_10_4,1624
32,DISCARD_ALL,1.47023,331,1.44989,1.4892,BONUS_DEUCES_10_4,1624
