Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,3_DEUCES,79.59152,8,72.53546,125.0,BONUS_DEUCES,4000
2,PAT_5_OAK_OR_WILD_ROYAL,32.0,5,15.0,100.0,BONUS_DEUCES,4000
3,1_DEUCE_3_ROYAL,23.43878,9,23.13725,24.6,BONUS_DEUCES,4000
4,2_DEUCES,18.43078,174,14.21122,29.79592,BONUS_DEUCES,4000
5,PAT_FLUSH_OR_STR_FLUSH,15.0,7,15.0,15.0,BONUS_DEUCES,4000
6,4_ROYAL,14.31373,1,14.31373,14.31373,BONUS_DEUCES,4000
7,3_KIND,10.61219,462,9.45578,31.2,BONUS_DEUCES,4000
8,PAT_STRAIGHT_OR_FULL_HOUSE,9.80769,52,5.0,50.0,BONUS_DEUCES,4000
9,1_DEUCE_3_SF_GAP,9.44162,35,8.95833,10.3125,BONUS_DEUCES,4000
10,4_STR_FLUSH_CONN,8.96593,4,8.75,9.3,BONUS_DEUCES,4000
11,1_DEUCE_2_ROYAL,6.79307,140,6.34694,7.48724,BONUS_DEUCES,4000
12,4_STR_FLUSH_GAP,5.84427,9,3.75,8.16327,BONUS_DEUCES,4000
13,1_DEUCE_3_FLUSH,5.02511,76,4.6875,8.125,BONUS_DEUCES,4000
14,1_DEUCE_2_SF_CONN,4.89889,17,4.68112,5.1906,BONUS_DEUCES,4000
15,1_DEUCE_2_SF_GAP,4.77897,18,4.62041,4.90248,BONUS_DEUCES,4000
16,1_DEUCE_GENERIC,4.67875,430,4.51856,4.91588,BONUS_DEUCES,4000
17,4_FLUSH,4.23846,96,3.97959,6.83673,BONUS_DEUCES,4000
18,3_ROYAL,4.2251,34,3.8914,4.66939,BONUS_DEUCES,4000
19,2_PAIR,3.91401,143,3.33333,4.70588,BONUS_DEUCES,4000
20,1_PAIR,3.05449,1139,2.57143,3.73969,BONUS_DEUCES,4000
21,3_STR_FLUSH_CONN,2.35578,15,2.0523,2.58776,BONUS_DEUCES,4000
22,3_STR_FLUSH_GAP,2.06709,62,1.79847,2.43197,BONUS_DEUCES,4000
23,3_FLUSH,1.69418,8,1.6449,1.71344,BONUS_DEUCES,4000
24,2_ROYAL,1.68497,310,1.47227,1.93199,BONUS_DEUCES,4000
25,JUNK_HIGH_CARDS,1.45527,89,1.42888,1.51133,BONUS_DEUCES,4000
26,JUNK_LOW,1.45012,176,1.38934,1.53857,BONUS_DEUCES,4000
27,DISCARD_ALL,1.43199,481,1.36343,1.49688,BONUS_DEUCES,4000
