Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,800.0,1,800.0,800.0,AIRPORT,3333
2,4_DEUCES,200.0,1,200.0,200.0,AIRPORT,3333
3,WILD_ROYAL,20.0,1,20.0,20.0,AIRPORT,3333
4,4_ROYAL,19.44149,4,19.29787,19.55319,AIRPORT,3333
5,3_DEUCES,15.07123,4,15.06383,15.09343,AIRPORT,3333
6,FIVE_6_TO_K,12.0,1,12.0,12.0,AIRPORT,3333
7,PAT_FLUSH_OR_STR_FLUSH,4.13333,15,3.0,20.0,AIRPORT,3333
8,2_DEUCES,3.81657,128,3.18298,5.17021,AIRPORT,3333
9,1_DEUCE_3_SF_CONN,3.7617,5,3.48936,3.95745,AIRPORT,3333
10,1_DEUCE_3_ROYAL,3.40426,6,2.97872,4.0,AIRPORT,3333
11,1_DEUCE_3_SF_GAP,3.24316,35,2.97872,3.51064,AIRPORT,3333
12,PAT_STRAIGHT_OR_FULL_HOUSE,2.69136,81,2.0,4.0,AIRPORT,3333
13,4_STR_FLUSH_CONN,2.59574,2,2.46809,2.7234,AIRPORT,3333
14,1_DEUCE_3_FLUSH,2.52128,2,2.51064,2.53191,AIRPORT,3333
15,3_KIND,1.91612,348,1.85106,4.68085,AIRPORT,3333
16,3_3_4_5,1.85106,14,1.85106,1.85106,AIRPORT,3333
17,3_ACES,1.85106,4,1.85106,1.85106,AIRPORT,3333
18,4_STR_FLUSH_GAP,1.513,9,0.76596,2.46809,AIRPORT,3333
19,1_DEUCE_2_SF_CONN,1.33074,59,1.07216,1.44866,AIRPORT,3333
20,3_ROYAL,1.31947,52,1.23959,1.49121,AIRPORT,3333
21,1_DEUCE_2_SF_GAP,1.23455,46,1.07216,1.3062,AIRPORT,3333
22,1_DEUCE_2_ROYAL,1.18766,70,0.99075,1.43108,AIRPORT,3333
23,1_DEUCE_2_FLUSH,1.11372,84,0.99075,1.16374,AIRPORT,3333
24,1_DEUCE_GENERIC,1.04555,288,0.9492,1.3034,AIRPORT,3333
25,4_FLUSH,0.76596,74,0.76596,0.76596,AIRPORT,3333
26,3_STR_FLUSH_CONN,0.74944,21,0.64107,0.79278,AIRPORT,3333
27,2_PAIR,0.68085,110,0.68085,0.68085,AIRPORT,3333
28,3_STR_FLUSH_GAP,0.58909,104,0.54117,0.67438,AIRPORT,3333
29,1_PAIR,0.54184,887,0.54184,0.54184,AIRPORT,3333
30,4_STRAIGHT_OPEN,0.48973,57,0.34043,0.51064,AIRPORT,3333
31,3_FLUSH,0.43509,3,0.43016,0.43756,AIRPORT,3333
32,JUNK_LOW,0.37209,166,0.308,4.68085,AIRPORT,3333
33,JUNK_HIGH_CARDS,0.36894,62,0.31915,0.448,AIRPORT,3333
34,2_ROYAL,0.36699,85,0.30071,0.4169,AIRPORT,3333
35,DISCARD_ALL,0.33217,513,0.30427,0.40833,AIRPORT,3333
