Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,2,4000.0,4000.0,BONUS_DEUCES_10_4,100000
2,4_DEUCES_ACE,2000.0,1,2000.0,2000.0,BONUS_DEUCES_10_4,100000
3,4_DEUCES,1085.10638,2,1085.10638,1085.10638,BONUS_DEUCES_10_4,100000
4,FIVE_ACES,400.0,4,400.0,400.0,BONUS_DEUCES_10_4,100000
5,FIVE_3_4_5,200.0,7,200.0,200.0,BONUS_DEUCES_10_4,100000
6,WILD_ROYAL,125.0,23,125.0,125.0,BONUS_DEUCES_10_4,100000
7,FIVE_6_TO_K,100.0,18,100.0,100.0,BONUS_DEUCES_10_4,100000
8,4_ROYAL,98.56211,31,97.97872,99.3617,BONUS_DEUCES_10_4,100000
9,3_DEUCES,90.68205,133,87.72895,102.02128,BONUS_DEUCES_10_4,100000
10,PAT_FLUSH_OR_STR_FLUSH,37.66667,330,15.0,125.0,BONUS_DEUCES_10_4,100000
11,2_DEUCES,21.78545,3921,16.89023,52.34043,BONUS_DEUCES_10_4,100000
12,1_DEUCE_3_SF_CONN,21.66301,155,19.46809,22.44681,BONUS_DEUCES_10_4,100000
13,1_DEUCE_3_ROYAL,18.29505,264,16.80851,22.44681,BONUS_DEUCES_10_4,100000
14,1_DEUCE_3_SF_GAP,17.96083,892,16.80851,19.78723,BONUS_DEUCES_10_4,100000
15,4_STR_FLUSH_CONN,15.13678,42,14.25532,15.31915,BONUS_DEUCES_10_4,100000
16,1_DEUCE_3_FLUSH,13.70878,80,4.78723,14.46809,BONUS_DEUCES_10_4,100000
17,3_ACES,12.12303,167,12.12303,12.12303,BONUS_DEUCES_10_4,100000
18,PAT_STRAIGHT_OR_FULL_HOUSE,10.89226,891,5.0,15.0,BONUS_DEUCES_10_4,100000
19,3_KIND,10.37285,10949,9.34783,52.34043,BONUS_DEUCES_10_4,100000
20,3_3_4_5,10.2729,387,10.2729,10.2729,BONUS_DEUCES_10_4,100000
21,4_STR_FLUSH_GAP,8.97738,253,3.82979,14.25532,BONUS_DEUCES_10_4,100000
22,3_ROYAL,6.78922,1282,6.37835,7.71045,BONUS_DEUCES_10_4,100000
23,1_DEUCE_2_SF_CONN,6.54151,2126,5.3469,7.02128,BONUS_DEUCES_10_4,100000
24,1_DEUCE_2_SF_GAP,6.11097,2215,5.3469,6.37373,BONUS_DEUCES_10_4,100000
25,1_DEUCE_2_ROYAL,5.85187,2405,4.88899,7.02128,BONUS_DEUCES_10_4,100000
26,1_DEUCE_2_FLUSH,5.43346,2712,4.88899,5.72618,BONUS_DEUCES_10_4,100000
27,1_DEUCE_GENERIC,5.13382,8795,4.43509,6.608,BONUS_DEUCES_10_4,100000
28,4_FLUSH,3.8596,1884,3.82979,13.19149,BONUS_DEUCES_10_4,100000
29,3_STR_FLUSH_CONN,3.84225,773,3.32562,4.05643,BONUS_DEUCES_10_4,100000
30,3_STR_FLUSH_GAP,3.08871,3249,2.85384,3.49214,BONUS_DEUCES_10_4,100000
31,1_PAIR,2.71349,29471,2.64231,3.01788,BONUS_DEUCES_10_4,100000
32,3_FLUSH,2.36039,152,2.34505,2.36355,BONUS_DEUCES_10_4,100000
33,JUNK_HIGH_CARDS,2.03651,1297,1.36448,52.34043,BONUS_DEUCES_10_4,100000
34,JUNK_LOW,1.72311,3861,1.363,35.31915,BONUS_DEUCES_10_4,100000
35,2_ROYAL,1.6896,3664,1.39408,1.93987,BONUS_DEUCES_10_4,100000
36,DISCARD_ALL,1.55527,17574,1.35133,2.18133,BONUS_DEUCES_10_4,100000
