Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,3_DEUCES,99.24838,2,73.49676,125.0,BONUS_DEUCES,200
2,2_DEUCES,17.15847,5,14.21122,26.80851,BONUS_DEUCES,200
3,3_KIND,10.26297,23,9.53901,12.02041,BONUS_DEUCES,200
4,1_DEUCE_3_SF_GAP,9.27083,1,9.27083,9.27083,BONUS_DEUCES,200
5,1_DEUCE_2_ROYAL,6.78585,9,6.34694,7.21088,BONUS_DEUCES,200
6,PAT_STRAIGHT_OR_FULL_HOUSE,5.0,1,5.0,5.0,BONUS_DEUCES,200
7,1_DEUCE_3_FLUSH,4.96599,6,4.89796,5.0,BONUS_DEUCES,200
8,1_DEUCE_2_SF_CONN,4.88733,2,4.79167,4.98299,BONUS_DEUCES,200
9,1_DEUCE_GENERIC,4.662,22,4.56479,4.79244,BONUS_DEUCES,200
10,4_FLUSH,4.31218,8,4.2,4.5,BONUS_DEUCES,200
11,3_ROYAL,4.0908,2,3.8914,4.2902,BONUS_DEUCES,200
12,2_PAIR,3.93268,10,3.40426,4.70588,BONUS_DEUCES,200
13,1_PAIR,3.11362,67,2.57143,3.73969,BONUS_DEUCES,200
14,3_STR_FLUSH_GAP,1.94303,3,1.875,1.97704,BONUS_DEUCES,200
15,3_FLUSH,1.71344,1,1.71344,1.71344,BONUS_DEUCES,200
16,2_ROYAL,1.68539,13,1.54454,1.8449,BONUS_DEUCES,200
17,JUNK_HIGH_CARDS,1.4687,3,1.44662,1.48574,BONUS_DEUCES,200
18,JUNK_LOW,1.44823,9,1.42475,1.48576,BONUS_DEUCES,200
19,DISCARD_ALL,1.43857,13,1.41629,1.47074,BONUS_DEUCES,200
