Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000.0,4000.0,DBW,10000
2,4_DEUCES,1000.0,2,1000.0,1000.0,DBW,10000
3,WILD_ROYAL,125.0,3,125.0,125.0,DBW,10000
4,4_ROYAL,98.61702,3,97.87234,99.68085,DBW,10000
5,FIVE_6_TO_K,80.0,1,80.0,80.0,DBW,10000
6,FIVE_3_4_5,80.0,1,80.0,80.0,DBW,10000
7,FIVE_ACES,80.0,1,80.0,80.0,DBW,10000
8,3_DEUCES,79.93951,13,79.74098,80.18501,DBW,10000
9,PAT_FLUSH_OR_STR_FLUSH,33.0,25,10.0,125.0,DBW,10000
10,1_DEUCE_3_SF_CONN,22.49747,21,19.89362,23.19149,DBW,10000
11,2_DEUCES,20.94095,371,16.63676,29.68085,DBW,10000
12,1_DEUCE_3_ROYAL,18.12602,26,16.80851,22.97872,DBW,10000
13,1_DEUCE_3_SF_GAP,17.75854,86,16.80851,20.10638,DBW,10000
14,4_STR_FLUSH_CONN,15.67819,8,14.14894,15.95745,DBW,10000
15,4_STR_FLUSH_GAP,14.13257,13,13.93617,14.14894,DBW,10000
16,1_DEUCE_3_FLUSH,13.90071,3,13.82979,13.93617,DBW,10000
17,PAT_STRAIGHT_OR_FULL_HOUSE,11.63317,199,10.0,15.0,DBW,10000
18,3_KIND,9.599,1060,9.16281,25.10638,DBW,10000
19,3_ACES,9.16281,13,9.16281,9.16281,DBW,10000
20,3_3_4_5,9.16281,42,9.16281,9.16281,DBW,10000
21,1_DEUCE_2_SF_CONN,7.04034,199,5.54117,7.67345,DBW,10000
22,3_ROYAL,6.79275,113,6.28585,7.92322,DBW,10000
23,1_DEUCE_2_SF_GAP,6.38379,199,5.50416,6.82239,DBW,10000
24,1_DEUCE_2_ROYAL,6.17395,197,4.93525,7.67345,DBW,10000
25,1_DEUCE_2_FLUSH,5.67145,221,5.02313,5.97132,DBW,10000
26,1_DEUCE_GENERIC,5.30473,901,4.788,6.485,DBW,10000
27,3_STR_FLUSH_CONN,3.92368,90,3.25624,4.28307,DBW,10000
28,3_STR_FLUSH_GAP,3.03818,404,2.6457,3.55689,DBW,10000
29,1_PAIR,2.61827,3076,2.61764,2.62319,DBW,10000
30,4_FLUSH,2.55319,78,2.55319,2.55319,DBW,10000
31,4_STRAIGHT_OPEN,2.37452,181,1.70213,2.55319,DBW,10000
32,3_FLUSH,2.09781,22,2.06753,2.10453,DBW,10000
33,JUNK_HIGH_CARDS,1.92813,218,1.502,25.10638,DBW,10000
34,JUNK_LOW,1.81749,577,1.481,25.10638,DBW,10000
35,2_ROYAL,1.8168,265,1.59297,2.13259,DBW,10000
36,DISCARD_ALL,1.64521,1379,1.441,2.06233,DBW,10000
