Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000.0,4000.0,LOOSE_DEUCES,10000
2,4_DEUCES,2500.0,1,2500.0,2500.0,LOOSE_DEUCES,10000
3,3_DEUCES,143.50601,19,143.26549,143.75116,LOOSE_DEUCES,10000
4,WILD_ROYAL,125.0,2,125.0,125.0,LOOSE_DEUCES,10000
5,4_ROYAL,98.61702,3,98.29787,98.93617,LOOSE_DEUCES,10000
6,FIVE_6_TO_K,75.0,4,75.0,75.0,LOOSE_DEUCES,10000
7,PAT_FLUSH_OR_STR_FLUSH,37.91667,24,15.0,125.0,LOOSE_DEUCES,10000
8,2_DEUCES,22.97711,389,20.91551,30.10638,LOOSE_DEUCES,10000
9,1_DEUCE_3_SF_CONN,22.65248,15,20.6383,23.7234,LOOSE_DEUCES,10000
10,1_DEUCE_3_ROYAL,18.7272,28,17.44681,23.51064,LOOSE_DEUCES,10000
11,1_DEUCE_3_SF_GAP,18.64592,81,17.44681,20.74468,LOOSE_DEUCES,10000
12,4_STR_FLUSH_CONN,15.35461,6,14.3617,15.95745,LOOSE_DEUCES,10000
13,1_DEUCE_3_FLUSH,14.74468,10,14.68085,14.78723,LOOSE_DEUCES,10000
14,PAT_STRAIGHT_OR_FULL_HOUSE,12.52747,182,10.0,20.0,LOOSE_DEUCES,10000
15,3_KIND,9.736,1073,9.39408,24.68085,LOOSE_DEUCES,10000
16,3_ACES,9.39408,15,9.39408,9.39408,LOOSE_DEUCES,10000
17,3_3_4_5,9.39408,42,9.39408,9.39408,LOOSE_DEUCES,10000
18,4_STR_FLUSH_GAP,8.97163,27,3.82979,14.57447,LOOSE_DEUCES,10000
19,1_DEUCE_2_SF_CONN,7.23965,174,5.76318,7.9371,LOOSE_DEUCES,10000
20,3_ROYAL,6.95302,115,6.52174,8.14061,LOOSE_DEUCES,10000
21,1_DEUCE_2_SF_GAP,6.79265,203,5.76318,7.10916,LOOSE_DEUCES,10000
22,1_DEUCE_2_ROYAL,6.55214,211,5.21277,7.9371,LOOSE_DEUCES,10000
23,1_DEUCE_2_FLUSH,5.95264,207,5.21277,6.28122,LOOSE_DEUCES,10000
24,1_DEUCE_GENERIC,5.88106,1012,4.932,7.908,LOOSE_DEUCES,10000
25,3_STR_FLUSH_CONN,4.21839,67,3.52451,4.48659,LOOSE_DEUCES,10000
26,4_FLUSH,3.87683,199,3.82979,13.19149,LOOSE_DEUCES,10000
27,2_PAIR,3.40426,374,3.40426,3.40426,LOOSE_DEUCES,10000
28,3_STR_FLUSH_GAP,3.29101,323,2.96022,3.79741,LOOSE_DEUCES,10000
29,1_PAIR,2.72772,2591,2.72772,2.72772,LOOSE_DEUCES,10000
30,4_STRAIGHT_OPEN,2.43927,127,1.70213,2.55319,LOOSE_DEUCES,10000
31,3_FLUSH,2.41289,12,2.38205,2.41906,LOOSE_DEUCES,10000
32,JUNK_HIGH_CARDS,2.01278,217,1.591,24.68085,LOOSE_DEUCES,10000
33,2_ROYAL,1.90923,286,1.58742,2.23404,LOOSE_DEUCES,10000
34,JUNK_LOW,1.86404,626,1.538,24.68085,LOOSE_DEUCES,10000
35,DISCARD_ALL,1.75368,1343,1.51267,2.31167,LOOSE_DEUCES,10000
