Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,NATURAL_ROYAL,4000.0,1,4000.0,4000.0,NSUD,10000
2,4_DEUCES,1000.0,3,1000.0,1000.0,NSUD,10000
3,WILD_ROYAL,125.0,2,125.0,125.0,NSUD,10000
4,4_ROYAL,98.98936,4,98.40426,100.0,NSUD,10000
5,FIVE_6_TO_K,80.0,2,80.0,80.0,NSUD,10000
6,FIVE_3_4_5,80.0,1,80.0,80.0,NSUD,10000
7,3_DEUCES,79.96174,11,79.83811,80.12951,NSUD,10000
8,PAT_FLUSH_OR_STR_FLUSH,53.07692,26,15.0,125.0,NSUD,10000
9,1_DEUCE_3_SF_CONN,22.80851,15,20.53191,23.7234,NSUD,10000
10,2_DEUCES,20.85294,363,16.80358,30.10638,NSUD,10000
11,1_DEUCE_3_ROYAL,19.10776,31,17.44681,23.7234,NSUD,10000
12,1_DEUCE_3_SF_GAP,18.57592,88,17.44681,20.74468,NSUD,10000
13,4_STR_FLUSH_CONN,15.65603,6,14.57447,15.95745,NSUD,10000
14,1_DEUCE_3_FLUSH,14.68085,2,14.68085,14.68085,NSUD,10000
15,PAT_STRAIGHT_OR_FULL_HOUSE,12.73196,194,10.0,20.0,NSUD,10000
16,3_KIND,9.89525,1102,9.44033,25.10638,NSUD,10000
17,4_STR_FLUSH_GAP,9.51815,17,3.82979,14.57447,NSUD,10000
18,3_ACES,9.44033,13,9.44033,9.44033,NSUD,10000
19,3_3_4_5,9.44033,47,9.44033,9.44033,NSUD,10000
20,1_DEUCE_2_SF_CONN,7.22607,206,5.80019,7.9371,NSUD,10000
21,3_ROYAL,6.93591,134,6.52174,8.11286,NSUD,10000
22,1_DEUCE_2_SF_GAP,6.7911,195,5.80019,7.10916,NSUD,10000
23,1_DEUCE_2_ROYAL,6.38535,199,5.21277,7.9371,NSUD,10000
24,1_DEUCE_2_FLUSH,5.88437,264,5.21277,6.28122,NSUD,10000
25,1_DEUCE_GENERIC,5.41703,845,4.861,6.627,NSUD,10000
26,3_STR_FLUSH_CONN,4.29757,67,3.55227,4.48659,NSUD,10000
27,4_FLUSH,3.82979,231,3.82979,3.82979,NSUD,10000
28,2_PAIR,3.40426,354,3.40426,3.40426,NSUD,10000
29,3_STR_FLUSH_GAP,3.29878,347,2.96022,3.79741,NSUD,10000
30,1_PAIR,2.73389,2580,2.73389,2.73389,NSUD,10000
31,4_STRAIGHT_OPEN,2.45721,133,1.70213,2.55319,NSUD,10000
32,3_FLUSH,2.40261,9,2.38205,2.41906,NSUD,10000
33,JUNK_HIGH_CARDS,2.04929,196,1.577,25.10638,NSUD,10000
34,2_ROYAL,1.89385,348,1.55597,2.23404,NSUD,10000
35,JUNK_LOW,1.8741,591,1.565,25.10638,NSUD,10000
36,DISCARD_ALL,1.70005,1382,1.51133,2.09533,NSUD,10000
