Variant,Status,Hand,Strategy Hold,Rule Hit,Optimal Hold,Strategy EV,Optimal EV,Diff,Description
NSUD,PASS,2s 2c 2h 2d As,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,Natural Royal (Impossible check)
NSUD,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,4 Deuces
NSUD,PASS,2s 2c 2h Ts Qs,2c 2h 2s Qs Ts,WILD ROYAL,2c 2h 2s Qs Ts,125.0000,125.0000,0.0000,Wild Royal (Pat)
NSUD,PASS,2s 2c 2h 9s 9d,2c 2h 2s 9d 9s,FIVE OF A KIND,2c 2h 2s 9d 9s,80.0000,80.0000,0.0000,5 of a Kind (6-K) -> Holds 3 Deuces
NSUD,FAIL,2s 2c 2h 3s 3d,2c 2h 2s 3d 3s,FIVE OF A KIND,2c 2h 2s,80.0000,80.3793,0.3793,5 of a Kind (3-5) -> Holds 3 Deuces
NSUD,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,79.9352,79.9352,0.0000,3 Deuces (Generic)
NSUD,PASS,2s 2c Ts Qs Ks,2c 2s Ks Qs Ts,WILD ROYAL,2c 2s Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal (Pat)
NSUD,PASS,2s 2c 6h 6d 6s,2c 2s 6d 6h 6s,FIVE OF A KIND,2c 2s 6d 6h 6s,80.0000,80.0000,0.0000,5 of a Kind (Pat)
NSUD,PASS,2s 2c 7h 8h 9h,2c 2s 7h 8h 9h,STRAIGHT FLUSH,2c 2s 7h 8h 9h,125.0000,125.0000,0.0000,Straight Flush (Pat)
NSUD,FAIL,2s 2c 7h 8h 5d,2c 2s,2 DEUCES,2c 2s 7h 8h,16.9201,30.0000,13.0799,4 to Straight Flush (Conn)
NSUD,FAIL,2s 2c 4h 8h 3s,2c 2s,2 DEUCES,2c 2s 4h 8h,17.0913,22.1277,5.0364,2 Deuces (Generic)
NSUD,PASS,2s Ts Js Qs Ks,2s Js Ks Qs Ts,WILD ROYAL,2s Js Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal (Pat)
NSUD,PASS,2s 5h 5d 5s 5c,2s 5c 5d 5h 5s,FIVE OF A KIND,2s 5c 5d 5h 5s,80.0000,80.0000,0.0000,5 of a Kind
NSUD,PASS,2s 5h 6h 7h 8h,2s 5h 6h 7h 8h,STRAIGHT FLUSH,2s 5h 6h 7h 8h,125.0000,125.0000,0.0000,Straight Flush (Pat)
NSUD,FAIL,2s 5h 6h 7h 9s,2s 5h 6h 7h 9s,STRAIGHT,2s 5h 6h 7h,10.0000,23.5106,13.5106,4 to Straight Flush (Conn)
NSUD,PASS,2s 9h 4h Th 3h,2s 3h 4h 9h Th,FLUSH,2s 3h 4h 9h Th,15.0000,15.0000,0.0000,Flush (Pat)
NSUD,FAIL,2s Ts Js Qs 4d,2s,1 DEUCE,2s Js Qs Ts,5.5440,23.7234,18.1794,3 to Royal (TJQ)
NSUD,PASS,2s 5h 6h 7d 8c,2s 5h 6h 7d 8c,STRAIGHT,2s 5h 6h 7d 8c,10.0000,10.0000,0.0000,Straight (Pat)
NSUD,FAIL,2s 5h 6h 9s Td,2s,1 DEUCE,2s 5h 6h,5.3030,7.0213,1.7183,"3 to Straight Flush (Conn 5,6)"
NSUD,FAIL,2s 5h 7h 9s Td,2s,1 DEUCE,2s 5h 7h,5.2740,7.0213,1.7473,"3 to Straight Flush (Gap 5,7)"
NSUD,PASS,2s 5h 5d 9s Ts,2s 5d 5h,3 OF A KIND,2s 5d 5h,9.4403,9.4403,0.0000,3 of a Kind (Deuce + Pair)
NSUD,FAIL,2s 4h 7d 9c Jk,2s,1 DEUCE,2s,4.9020,5.6310,0.7290,1 Deuce (Generic)
NSUD,PASS,As Ks Qs Js Ts,As Js Ks Qs Ts,NATURAL ROYAL,As Js Ks Qs Ts,4000.0000,4000.0000,0.0000,Natural Royal
NSUD,FAIL,As Ks Qs Js 9h,,DISCARD ALL,As Js Ks Qs,1.6960,98.6170,96.9210,4 to Royal
NSUD,PASS,9s 8s 7s 6s 5s,5s 6s 7s 8s 9s,STRAIGHT FLUSH,5s 6s 7s 8s 9s,50.0000,50.0000,0.0000,Straight Flush (Pat)
NSUD,PASS,9s 8s 7s 6s 2h,2h 6s 7s 8s 9s,STRAIGHT FLUSH,2h 6s 7s 8s 9s,125.0000,125.0000,0.0000,4 to Straight Flush (Conn)
NSUD,FAIL,As Ks Qs 9d 8c,,DISCARD ALL,As Ks Qs,1.6640,6.7623,5.0983,3 to Royal
NSUD,PASS,8s 8c 8h 4d 4s,4d 4s 8c 8h 8s,FULL HOUSE,4d 4s 8c 8h 8s,20.0000,20.0000,0.0000,Full House
NSUD,PASS,Ks 8s 4s 3s 2h,2h 3s 4s 8s Ks,FLUSH,2h 3s 4s 8s Ks,15.0000,15.0000,0.0000,Flush (Pat)
NSUD,PASS,4s 5d 6c 7h 8s,4s 5d 6c 7h 8s,STRAIGHT,4s 5d 6c 7h 8s,10.0000,10.0000,0.0000,Straight (Pat)
NSUD,PASS,8s 8c 8h 4d 5s,8c 8h 8s,3 OF A KIND,8c 8h 8s,9.4403,9.4403,0.0000,3 of a Kind
NSUD,FAIL,Qs Ks 4s 8s 9d,,DISCARD ALL,4s 8s Ks Qs,1.6937,3.8298,2.1361,4 to Flush
NSUD,PASS,8s 8c 4d 5s 6h,8c 8s,ANY PAIR,8c 8s,2.7339,2.7339,0.0000,Pair (Generic)
NSUD,FAIL,4s 5c 6d 7h 9s,,DISCARD ALL,4s 5c 6d 7h,1.8100,2.5532,0.7432,4 to Straight (Open)
NSUD,FAIL,As Ks 4d 5c 6h,,DISCARD ALL,,1.6213,1.7283,0.1070,2 to Royal
NSUD,FAIL,As 4d 5c 8h 9s,,DISCARD ALL,,1.5920,1.6020,0.0100,Discard All
BONUS_DEUCES_10_4,PASS,2s 2c 2h 2d As,2c 2d 2h 2s As,4 DEUCES ACE,2c 2d 2h 2s As,2000.0000,2000.0000,0.0000,4 Deuces + Ace (Pays 400)
BONUS_DEUCES_10_4,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1085.1064,1085.1064,0.0000,4 Deuces (Pays 200)
BONUS_DEUCES_10_4,PASS,2s 2c 2h Ah As,2c 2h 2s Ah As,FIVE ACES,2c 2h 2s Ah As,400.0000,400.0000,0.0000,5 Aces (Pays 80)
BONUS_DEUCES_10_4,PASS,2s 2c 2h 4s 4d,2c 2h 2s 4d 4s,FIVE 3 4 5,2c 2h 2s 4d 4s,200.0000,200.0000,0.0000,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,PASS,2s 2c 2h Ts Js,2c 2h 2s Js Ts,WILD ROYAL,2c 2h 2s Js Ts,125.0000,125.0000,0.0000,Wild Royal (Pays 25) vs 3 Deuces
BONUS_DEUCES_10_4,PASS,2s 2c 2h 6s 6d,2c 2h 2s 6d 6s,FIVE 6 TO K,2c 2h 2s 6d 6s,100.0000,100.0000,0.0000,5 6-K (Pays 20) vs 3 Deuces
BONUS_DEUCES_10_4,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,87.9093,87.9093,0.0000,3 Deuces
BONUS_DEUCES_10_4,PASS,2s 2c As Ad Ah,2c 2s Ad Ah As,FIVE ACES,2c 2s Ad Ah As,400.0000,400.0000,0.0000,5 Aces (Pays 80)
BONUS_DEUCES_10_4,PASS,2s 2c 4s 4d 4h,2c 2s 4d 4h 4s,FIVE 3 4 5,2c 2s 4d 4h 4s,200.0000,200.0000,0.0000,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,PASS,2s 2c Ts Qs Ks,2c 2s Ks Qs Ts,WILD ROYAL,2c 2s Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal (Pays 25)
BONUS_DEUCES_10_4,PASS,2s 2c 6h 6d 6s,2c 2s 6d 6h 6s,FIVE 6 TO K,2c 2s 6d 6h 6s,100.0000,100.0000,0.0000,5 6-K (Pays 20)
BONUS_DEUCES_10_4,PASS,2s 2c 7h 8h 9h,2c 2s 7h 8h 9h,STRAIGHT FLUSH,2c 2s 7h 8h 9h,125.0000,125.0000,0.0000,Straight Flush (Pat)
BONUS_DEUCES_10_4,FAIL,2s 2c 7h 8h 5d,2c 2s,2 DEUCES,2c 2s 7h 8h,17.1042,28.1915,11.0873,4 to Straight Flush (Conn)
BONUS_DEUCES_10_4,FAIL,2s 2c 4h 8h 3s,2c 2s,2 DEUCES,2c 2s 4h 8h,17.1684,21.1702,4.0019,2 Deuces
BONUS_DEUCES_10_4,PASS,2s As Ac Ad Ah,2s Ac Ad Ah As,FIVE ACES,2s Ac Ad Ah As,400.0000,400.0000,0.0000,5 Aces (Pays 80)
BONUS_DEUCES_10_4,PASS,2s 4s 4c 4d 4h,2s 4c 4d 4h 4s,FIVE 3 4 5,2s 4c 4d 4h 4s,200.0000,200.0000,0.0000,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,PASS,2s Ts Js Qs Ks,2s Js Ks Qs Ts,WILD ROYAL,2s Js Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal
BONUS_DEUCES_10_4,PASS,2s 6h 6c 6d 6s,2s 6c 6d 6h 6s,FIVE 6 TO K,2s 6c 6d 6h 6s,100.0000,100.0000,0.0000,5 6-K (Pays 20)
BONUS_DEUCES_10_4,PASS,2s 6h 7h 8h 9h,2s 6h 7h 8h 9h,STRAIGHT FLUSH,2s 6h 7h 8h 9h,125.0000,125.0000,0.0000,Straight Flush
BONUS_DEUCES_10_4,FAIL,2s 6h 7h 8h 4d,2s 4d 6h 7h 8h,STRAIGHT,2s 6h 7h 8h,5.0000,22.3404,17.3404,4 to Straight Flush
BONUS_DEUCES_10_4,FAIL,2s 8h 8c 8d 4s,2s 8c 8h,3 OF A KIND,2s 8c 8d 8h,8.4968,26.8085,18.3117,Full House
BONUS_DEUCES_10_4,FAIL,2s 6h 7h 5d 4c,2s 4c 5d 6h 7h,STRAIGHT,2s 6h 7h,5.0000,6.8964,1.8964,4 to SF (Gap/Conn check)
BONUS_DEUCES_10_4,PASS,2s 8h 4h Th 3h,2s 3h 4h 8h Th,FLUSH,2s 3h 4h 8h Th,15.0000,15.0000,0.0000,Flush (Pays 3)
BONUS_DEUCES_10_4,FAIL,2s 5h 6h 9d Td,2s,1 DEUCE,2s 9d Td,5.6670,6.9843,1.3173,3 to SF (Conn)
BONUS_DEUCES_10_4,FAIL,2s Kh Qh 4d 5c,2s,1 DEUCE,2s Kh Qh,4.7990,5.7262,0.9272,3 to Royal
BONUS_DEUCES_10_4,PASS,2s 8h 8d 4c 5c,2s 8d 8h,3 OF A KIND,2s 8d 8h,9.3478,9.3478,0.0000,3 of a Kind (Pair + Deuce)
BONUS_DEUCES_10_4,PASS,2s 4h 5h 6h 8h,2s 4h 5h 6h 8h,STRAIGHT FLUSH,2s 4h 5h 6h 8h,125.0000,125.0000,0.0000,Straight (Pat)
BONUS_DEUCES_10_4,PASS,2s 4h 8d Jc Ks,2s,1 DEUCE,2s,5.2150,5.0260,-0.1890,1 Deuce (Generic)
BONUS_DEUCES_10_4,PASS,As Ks Qs Js Ts,As Js Ks Qs Ts,NATURAL ROYAL,As Js Ks Qs Ts,4000.0000,4000.0000,0.0000,Natural Royal
BONUS_DEUCES_10_4,FAIL,As Ks Qs Js 9h,,DISCARD ALL,As Js Ks Qs,1.6163,98.2979,96.6815,4 to Royal
BONUS_DEUCES_10_4,PASS,9s 8s 7s 6s 5s,5s 6s 7s 8s 9s,STRAIGHT FLUSH,5s 6s 7s 8s 9s,50.0000,50.0000,0.0000,Straight Flush
BONUS_DEUCES_10_4,PASS,8s 8c 8h 4d 4s,4d 4s 8c 8h 8s,FULL HOUSE,4d 4s 8c 8h 8s,15.0000,15.0000,0.0000,Full House
BONUS_DEUCES_10_4,PASS,Ks 8s 4s 3s 2h,2h 3s 4s 8s Ks,FLUSH,2h 3s 4s 8s Ks,15.0000,15.0000,0.0000,Flush
BONUS_DEUCES_10_4,PASS,4s 5d 6c 7h 8s,4s 5d 6c 7h 8s,STRAIGHT,4s 5d 6c 7h 8s,5.0000,5.0000,0.0000,Straight
BONUS_DEUCES_10_4,PASS,8s 8c 8h 4d 5s,8c 8h 8s,3 OF A KIND,8c 8h 8s,9.3478,9.3478,0.0000,3 of a Kind
BONUS_DEUCES_10_4,FAIL,9s 8s 7s 6s 4d,,DISCARD ALL,6s 7s 8s 9s,1.5633,15.3191,13.7558,4 to Straight Flush (Conn)
BONUS_DEUCES_10_4,FAIL,Qs Js Ts 4d 5s,,DISCARD ALL,Js Qs Ts,1.5730,7.5439,5.9709,3 to Royal
BONUS_DEUCES_10_4,FAIL,Qs Ks 4s 8s 9d,,DISCARD ALL,4s 8s Ks Qs,1.5197,3.8298,2.3101,4 to Flush
BONUS_DEUCES_10_4,PASS,8s 8c 4d 5s 6h,8c 8s,ANY PAIR,8c 8s,2.6423,2.6423,0.0000,Pair
BONUS_DEUCES_10_4,PASS,As Ks 4d 5c 6h,,DISCARD ALL,,1.5797,1.5330,-0.0467,2 to Royal
BONUS_DEUCES_10_4,PASS,As 4d 5c 8h 9s,,DISCARD ALL,,1.5320,1.4980,-0.0340,Discard All (or Ace Sniper?)
AIRPORT,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,4 Deuces
AIRPORT,PASS,2s 2c 2h Ts Qs,2c 2h 2s Qs Ts,WILD ROYAL,2c 2h 2s Qs Ts,100.0000,100.0000,0.0000,Wild Royal
AIRPORT,PASS,2s 2c 2h 9s 9d,2c 2h 2s,3 DEUCES,2c 2h 2s,75.1341,75.1341,0.0000,3 Deuces (Holds over 5OAK)
AIRPORT,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,75.2451,75.2451,0.0000,3 Deuces (Generic)
